///////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
///////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
///////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
///////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
///////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
///////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
///////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
///////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
///////////////////////////////////////////////////---****** *******///////////////////////////////////////////////////
///////////////////////////////////////////////////---    ** *    ****/////////////////////////////////////////////////
///////////////////////////////////////////////////---              ***////////////////////////////////////////////////
//////////////////////////////////////////////////-----             **/////////////////////////////////////////////////
/////////////////////////////////////////////////-----            ***//////////////////////////////////////////////////
///////////////////////////////////////////////////--               **/^///////////////////////////////////////////////
////////////////////////////////////////////////^^^^^^^^^^^^^^^^^^^^^^^^///////////////////////////////////////////////
////////////////////////////////////////////////^^[welcome_to_brendans]^///////////////////////////////////////////////
////////////////////////////////////////////////^^[dhtml_demonstration]^///////////////////////////////////////////////
////////////////////////////////////////////////^^                    ^^///////////////////////////////////////////////
////////////////////////////////////////////////^^                   *^^^//////////////////////////////////////////////
///////////////////////////////////////////////^^^                  **^^^//////////////////////////////////////////////
/////////////////////////////////////////////^^^^                   **^^^^/////////////////////////////////////////////
////////////////////////////////////////////-^^^                    **^^^^/////////////////////////////////////////////
///////////////////////////////////////////--^^                    ***^^^//////////////////////////////////////////////
/////////////////////////[_should_you_need_to]                    ****^^^//////////////////////////////////////////////
/////////////////////////[__defend_yourself_]   ^^[use_the_arrow_keys_]^^//////////////////////////////////////////////
/////////////////////////[_press_the_a_key_]    ^^[to_move_around_map_]^^//////////////////////////////////////////////
/////////////////////////                     ^^^^^^^^^^^^^^^^^^^^^^^^^^///////////////////////////////////////////////
///////////////////////                     ^^^   ^^^++TT++++ ^^D^^^^^     ////////////////////////////////////////////
///////////////////////             ^^^  +++++++      +++                  ////////////////////////////////////////////
////////////////////////          ^^^^^^++TTTTT+++                         ////////////////////////////////////////////
////////////////////////          ^^D^^^+++TTTTTT+++                       ////////////////////////////////////////////
/////////////////////////         ^^ ^^+++TTTTTTTTT++                      ////////////////////////////////////////////
///////////////////////////        ^  ++++TTTTT+TTT+++                     ////////////////////////////////////////////
///////////////////////////             ++++TTTTT++++                             /////////////////////////////////////
///////////////////////////               ++++++++++.                             /////////////////////////////////////
///////////////////////////                   +++++          ::::::::                     /////////////////////////////
///////////////////////////                                   ::^^^^::::                  /////////////////////////////
////////////////////////[all_the_javascripts]                ::::^^^^^^^::                    /////////////////////////
////////////////////////[used_by_this_demo_]                  :::^^^D^^^::                   //////////////////////////
///////////////////////\\\[were_loaded_in_via_ajax]             :::::::::                    //////////////////////////
//////////////////////////////\\\\[unobtrusively]-                                 ////         /////////////////////// 
/////////////////////////////////////------     ---             //////////////////////         ////////////////////////
/////////////////////////^^^^////////             --          ---- {|} ///////////////////     ////////////////////////
////////////////////^^^^^^^^^^                    =           /---/         ///////////////////////////////////////////
/////////////////////^^^^D                        -       ////////////    /////////////////////////////////////////////
///////////////////\^^^                         ---       /////////////////////////////////////////////////////////////
//////////////\\\\\\^            ----         ---         /////////////////////////////////////////////////////////////
///////////\\\\\\\\\/     -------//--         ^^          /////////////////////////////////////////////////////////////
////////////\\\\\\///     ------////          ^^^         /////////////////////////////////////////////////////////////
/////////////\\\\\///                           ^^^       /////////////////////////////////////////////////////////////
////////////////\\/[there_is_no_real]         ^^^^D   ^^^^^////////////    ////////////////////////////////////////////
///////////////////[game_objective__]           ^^^^^^^                     ///////////////////////////////////////////
///////////////////                                                         ///////////////////////////////////////////
///////////////////                                                         ///////////////////////////////////////////
///////////////////[than_to_show_you]         ------------             ////////////////////////////////////////////////
///////////////////\\\\\[how_awesome_my_javascript_and_css_fu_is]-----    /////////////////////////////////////////////
//////////////////////    /////////////////////////////----//////////////\\\\\/////////////////////////////////////////
//////////////////////     ////////////////////////////////////////////////\\\/////////////////////////////////////////
////////////////////////// ////////////////////////////////\\\\\///////////////////////////////////////////////////////
/////////////////////////   ///////////////////////////////\\\\\///\\\/////////////////////////////////////////////////
////////////////////////// ///////////////////////////////////\\\\\\\\\\///////////////////////////////////////////////
////////////////////////// //////////////////////////////////////\\\\\/////////////////////////////////////////////////
////////////////////////// ////////////////////////////////////////////////////////////////////////////////////////////
//////////////////////////  ///////////////////////////////////////////////////////////////////////////////////////////
///////////////////////////  //////////////////////////////////////////////////////////////////////////////////////////
///////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
///////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
///////////////////////////////////////////////////////////////////////////////////////////////////////////////////////

legend
  grass
' cobblestone
+ trees
T bigtrees
# stonewall
- shallowwater
/ water
\ deepwater
* lava
. rocks
: hills
D dungeon
^ mountains
[ counterleft
] counterright
_ counterspace
= bridge
a lettera
b letterb
c letterc
d letterd
e lettere
f letterf
g letterg
h letterh
i letteri
j letterj
k letterk
l letterl
m letterm
n lettern
o lettero
p letterp
q letterq
r letterr
s letters
t lettert
u letteru
v letterv
w letterw
x letterx
y lettery
z letterz
{ castleleft
| castlemiddle
} castleright
